Symbol,Company,Current Price,Previous Close,Day High,Day Low,Volume
RELIANCE,Reliance Industries Limited,1304.0,1301.9000244140625,1312.0,1302.0,7837068
HDFCBANK,HDFC Bank Limited,801.05,795.0,807.0,798.5499877929688,25867219
BHARTIARTL,Bharti Airtel Limited,1910.4,1871.199951171875,1913.0,1885.0,5086693
ICICIBANK,ICICI Bank Limited,1411.4,1401.9000244140625,1420.0,1405.9000244140625,12899919
SBIN,State Bank of India,1040.0,1051.5999755859375,1057.0,1034.5,10438892
TCS,Tata Consultancy Services Limited,2093.5,2068.10009765625,2116.60009765625,2085.0,4027324
INFY,Infosys Limited,1047.2,1042.199951171875,1068.699951171875,1042.0,11651448
LT,Larsen & Toubro Limited,4026.6,4057.0,4094.0,4019.0,1504724
HINDUNILVR,Hindustan Unilever Limited,2201.2,2210.60009765625,2239.300048828125,2190.0,1536410
BAJFINANCE,Bajaj Finance Limited,1031.4,1020.0,1040.0,1017.5999755859375,9398215
